Type,StartScore,EndScore,Comment
Extroversion,0,9,"Bạn có tính hướng ngoại thấp. Bạn thường thích sự cô độc hơn và cảm thấy kiệt sức khi phải giao tiếp nhiều. Đồng thời, bạn có thể khó khăn trong việc bắt đầu cuộc trò chuyện và không thích những cuộc nói chuyện nhanh và linh hoạt. Với tính cách ít ngoại lực, bạn thường cẩn thận suy nghĩ mọi việc trước khi nói và không thích trở thành trung tâm của sự chú ý. Và bạn thường tỏ ra khá dè dặt và cẩn thận trong việc lựa chọn từ ngữ và hành vi của mình, vì bạn luôn muốn đảm bảo rằng bạn không gặp phải những tình huống khó xử."
Agreeableness,0,9,"Bạn có tình hòa đồng thấp. Bạn có thể thiếu khả năng đặt mình vào vị trí của người khác và hiểu được cảm giác và suy nghĩ của họ. Bạn ít quan tâm đến vấn đề và nhu cầu của người khác và có thể xem những vấn đề này là không quan trọng. Điều này có thể dẫn đến bạn xúc phạm và coi thường người khác, không đối xử tốt với họ và có thể gây ra những vấn đề trong mối quan hệ."
Conscientiousness,0,9,"Bạn có tính tự chủ thấp. Bạn có thể gặp khó khăn trong việc tập trung và tổ chức công việc của mình, và thường làm việc theo cách lộn xộn và không có kế hoạch cụ thể. Bạn có thể không quan tâm đến việc sắp xếp và giữ gìn vật dụng và không cố gắng trả chúng về vị trí cũ. Bạn có thể chần chừ hoặc không hoàn thành các nhiệm vụ quan trọng, gây ra sự bất ổn và không tin tưởng trong công việc của mình."
Neuroticism,0,9,"Bạn có tính nhạy cảm thấp. Bạn có khả năng ổn định về mặt cảm xúc và không bị chi phối bởi cảm xúc của bạn. Bạn có thể xử lý tốt với căng thẳng và áp lực trong cuộc sống và công việc của mình. Bạn hiếm khi cảm thấy buồn hay thất vọng vì bạn có khả năng nhìn nhận và đối mặt với các tình huống khó khăn một cách tích cực và tìm kiếm giải pháp thích hợp. Bạn có khả năng tập trung vào những mục tiêu lớn hơn và đưa ra các kế hoạch để đạt được những mục tiêu đó. Do đó, bạn không lo lắng nhiều về những điều vụn vặt trong cuộc sống."
Openness to Experience,0,9,"Bạn có tính cởi mở thấp. Họ có xu hướng giữ vững những thứ quen thuộc và không thích thay đổi. bạn có thể khá khó chịu khi đối mặt với những thay đổi hoặc khi phải thích nghi với môi trường mới. Bạn không thích những thứ mới và có xu hướng chống lại những ý tưởng mới, bởi vì những ý tưởng đó có thể khiến bạn phải thay đổi hoặc thích nghi với một thực tế mới. Bạn thường không giàu trí tưởng tượng, có thể khá khó để bạn tưởng tượng ra những ý tưởng mới và đột phá. Bạn cũng không thích các khái niệm trừu tượng hoặc lý thuyết, bởi vì chúng có thể khó để họ áp dụng vào thực tế và không giúp bạn giải quyết các vấn đề trong cuộc sống và công việc của mình."
Extroversion,10,19,"Bạn có tính hướng ngoại tương đối thấp. Bạn có tính cách hướng nội và thích độc lập. Bạn có thể cảm thấy thoải mái hơn khi ở một mình và không cần phải chia sẻ nhiều với người khác. Bạn không thích những cuộc nói chuyện nhanh và linh hoạt có thể khiến cho bạn cảm thấy bị áp đặt và không thoải mái. Bạn thường muốn có thêm thời gian để suy nghĩ và đưa ra ý kiến của mình. Bạn không thích trở thành trung tâm của sự chú ý, việc này có thể khiến cho bạn cảm thấy khó chịu và không thoải mái. Bạn thường muốn giữ cho mình một khoảng cách và không muốn trở nên quá nổi bật trong đám đông."
Agreeableness,10,19,"Bạn có tính hòa đồng tương đối thấp. Bạn ít quan tâm đến người khác, không quan tâm đến cảm giác của người khác và ít quan tâm đến vấn đề của người khác. Điều này làm cho bạn không thể hiểu rõ những người xung quanh mình và không thể tạo ra mối quan hệ tốt đẹp hơn. "
Conscientiousness,10,19,"Bạn có tính tự chủ tương đối thấp. Bạn thỉnh thoảng gặp khó khăn trong việc tập trung và tổ chức công việc của mình. Điều này làm bạn dễ bị phân tán và không tập trung vào công việc cần làm, dẫn đến việc hoàn thiện công việc chậm chạp hoặc không đạt hiệu quả cao. Bạn ít khi đặt các đồ vật về vị trí cũ, khiến cho bạn có thể tốn nhiều thời gian để tìm kiếm các đồ vật quan trọng, gây ra sự lãng phí thời gian và tăng sự bất tiện trong công việc."
Neuroticism,10,19,"Bạn có tính nhạy cảm tương đối thấp. Bạn có tính ổn định về mặt cảm xúc, không bị ảnh hưởng quá nhiều bởi những biến cố hoặc tình huống khó khăn, và có khả năng đối phó tốt với căng thẳng trong cuộc sống. Bạn ít khi cảm thấy buồn hay thất vọng, từ đó duy trì động lực và tập trung vào mục tiêu của mình một cách hiệu quả hơn. Bạn ít khi cảm thấy lo lắng, điều đó giúp bạn giải phóng tâm trí và tập trung vào những điều quan trọng hơn trong cuộc sống."
Openness to Experience,10,19,"Bạn có tính cởi mở tương đối thấp. Bạn có thể có khó khăn trong việc tưởng tượng và sáng tạo ra các ý tưởng mới. Bạn không có sự quan tâm đặc biệt đến nghệ thuật và không dành thời gian cho các hoạt động liên quan đến nghệ thuật. Bạn không thích khám phá những trải nghiệm mới và có xu hướng tránh xa những trải nghiệm ngoài sự thoải mái và an toàn của bạn. Bạn không có động lực để tìm hiểu và khám phá những kiến thức mới. Đồng thời, bạn thỉnh thoảng sẽ không thích các khái niệm trừu tượng hoặc lý thuyết."
Extroversion,20,29,"Bạn có tính hướng ngoại tương đối cao. Bạn có một vòng tròn xã hội rộng lớn gồm bạn bè, người quen và dễ dàng kết bạn mới giúp cho bạn có thể tạo ra những mối quan hệ tốt đẹp và tìm kiếm những cơ hội mới. Bạn cảm thấy tràn đầy năng lượng khi ở xung quanh người khác có thể khiến cho bạn trở nên năng động và đầy sức sống. Bạn thường có khả năng tạo ra một không khí tích cực và vui vẻ trong các hoạt động xã hội."
Agreeableness,20,29,Bạn có tính hòa đồng tương đối cao. Bạn có hứng thú tìm hiểu về người khác giúp bạn có thể hiểu rõ hơn về những người xung quanh mình và tạo ra những mối quan hệ tốt đẹp hơn. Bạn đồng cảm và quan tâm đến người khác giúp bạn hiểu rõ hơn về những khó khăn và thách thức mà người khác đang phải đối mặt và có thể đưa ra những lời khuyên và hỗ trợ để giúp người đó vượt qua những khó khăn.
Conscientiousness,20,29,"Bạn có tính tự chủ tương đối cao. Bạn dành thời gian chuẩn bị và lên kế hoạch cho công việc của mình giúp bạn giảm thiểu sai sót bằng cách chuẩn bị cẩn thận trước khi thực hiện một nhiệm vụ. Đồng thời bạn thích có một lịch trình rõ ràng giúp bạn quản lý thời gian hiệu quả và đạt được sự tiến bộ trong công việc và cuộc sống. Bạn chú ý đến chi tiết của công việc, việc này giúp bạn đảm bảo rằng công việc được thực hiện chính xác và đầy đủ. Và bạn có thể nhận ra các khuyết điểm và sửa chữa chúng trước khi chúng trở thành vấn đề lớn."
Neuroticism,20,29,"Bạn có tính nhạy cảm tương đối cao. Bạn trải qua nhiều căng thẳng, lo lắng về nhiều thứ, dễ dàng cảm thấy buồn phiền. Điều này làm bạn có thể dễ bị mất tập trung và không thể tập trung vào một nhiệm vụ cụ thể trong thời gian dài. Từ đó bạn có thể cảm thấy mệt mỏi và thiếu năng lượng để đối mặt với những thử thách trong cuộc sống."
Openness to Experience,20,29,"Bạn có tính cởi mở tương đối cao. Bạn có khả năng sáng tạo độc đáo trong một số khía cạnh. Bạn tập trung vào giải quyết những thách thức mới từ đó tìm ra những cách tiếp cận mới và hiệu quả hơn để giải quyết các vấn đề khó khăn. Ngoài ra, Bạn sẵn sàng thử những điều mới giúp bạn mở rộng tầm nhìn và khám phá những trải nghiệm mới, đồng thời cũng giúp bạn phát triển kỹ năng và kiến thức mới. Bạn có sự hứng thú khi nghĩ về các khái niệm trừu tượng giúp bạn tìm ra những ý tưởng độc đáo và tạo ra các giải pháp sáng tạo cho các vấn đề phức tạp."
Extroversion,30,40,"Bạn có tính hướng ngoại cao. Bạn thường tận hưởng việc là trung tâm của sự chú ý trong bất kỳ tình huống nào. Ngoài ra, bạn thích bắt đầu cuộc trò chuyện và gặp gỡ những người mới để mở rộng vòng tròn xã hội của mình. Với khả năng kết bạn mới dễ dàng, bạn có một mạng lưới rộng lớn gồm bạn bè và người quen. Bởi vì bạn có thể tạo ra mối quan hệ một cách tự nhiên và dễ dàng tìm ra những điểm chung với người khác. Một trong những đặc điểm của tính cách hướng ngoại cao là bạn cảm thấy tràn đầy năng lượng khi bạn ở xung quanh người khác. Bạn thường có khả năng đưa ra quyết định và nói trước khi bạn nghĩ, điều này có thể khiến người khác cảm thấy kinh ngạc và thú vị."
Agreeableness,30,40,"Bạn có tính hòa đồng cao. Bạn thường có một sự hứng thú tìm hiểu về người khác. Bạn luôn cảm thấy đồng cảm và quan tâm đến người khác và thường thích giúp đỡ và đóng góp cho hạnh phúc của người khác. Với tính cách này, bạn có khả năng tạo ra mối quan hệ tốt và có thể trở thành người bạn đồng hành tuyệt vời cho người khác. Bạn thường luôn sẵn sàng lắng nghe và chia sẻ với người khác, và đưa ra lời khuyên và hỗ trợ khi cần thiết."
Conscientiousness,30,40,"Bạn có tính tự chủ cao. Bạn có xu hướng dành thời gian chuẩn bị và lên kế hoạch cho công việc của mình trước khi thực hiện. Bạn không bao giờ để lại những việc quan trọng đến phút cuối và luôn đảm bảo rằng mọi thứ đều được chuẩn bị kỹ lưỡng. Bạn cũng chú ý đến chi tiết và luôn cố gắng hoàn thành công việc một cách chính xác và tốt nhất có thể. Ngoài ra, bạn thường thích có một lịch trình rõ ràng được lập ra để giúp bạn quản lý thời gian và hoàn thành nhiệm vụ một cách hiệu quả."
Neuroticism,30,40,"Bạn có tính nhạy cảm cao. Bạn có khả năng cảm nhận và phản ứng mạnh mẽ với những tình huống căng thẳng và khó khăn trong cuộc sống. Bạn thường lo lắng về nhiều thứ và dễ cảm thấy buồn phiền khi gặp phải những khó khăn hoặc thất bại. Bạn có thể trải nghiệm những thay đổi đáng kể trong tâm trạng, từ cảm thấy vui vẻ và hạnh phúc đến buồn bã và trống rỗng, và có thể khó khăn trong việc kiểm soát cảm xúc của mình. Bạn có thể lo lắng quá mức về những điều nhỏ nhặt và có thể khó khăn trong việc thư giãn và giảm căng thẳng. Trong một số trường hợp nghiêm trọng, bạn có thể phát triển các rối loạn tâm lý như rối loạn lo âu hoặc trầm cảm."
Openness to Experience,30,40,"Bạn có tính cởi mở cao. Bạn có khả năng tạo ra những ý tưởng mới và độc đáo, và thường tìm cách áp dụng chúng trong công việc hoặc cuộc sống của mình. Ngoài ra, bạn sẵn sàng thử những điều mới và luôn tập trung vào giải quyết chúng. Bạn có khả năng suy nghĩ tư duy trừu tượng và hiểu được những ý tưởng phức tạp."
